Date,Open,High,Low,Close,Adj Close,Volume
2023-08-17,115.900002,116.800003,114.699997,116.050003,113.758034,28461865
2023-08-18,116.300003,116.400002,114.750000,115.800003,113.512978,30381609
2023-08-21,116.750000,117.099998,115.849998,116.900002,114.591248,22629651
2023-08-22,117.150002,117.750000,116.500000,117.550003,115.228409,17343131
2023-08-23,117.849998,119.250000,117.650002,118.949997,116.600754,43744909
2023-08-24,119.500000,120.099998,118.050003,118.250000,115.914581,27103446
2023-08-25,118.000000,118.150002,116.699997,116.900002,114.591248,23692527
2023-08-28,117.000000,118.250000,117.000000,117.599998,115.277420,19218821
2023-08-29,118.500000,120.150002,117.750000,119.550003,117.188911,36038317
2023-08-30,120.500000,122.699997,120.250000,122.099998,119.688545,51467177
2023-08-31,122.849998,123.599998,122.150002,122.900002,120.472748,60626985
2023-09-01,123.500000,128.699997,123.400002,127.050003,124.540787,76460408
2023-09-04,129.199997,132.899994,128.850006,131.750000,129.147964,68525900
2023-09-05,131.750000,132.449997,128.850006,131.699997,129.098953,36466807
2023-09-06,132.399994,132.399994,128.199997,129.600006,127.040428,36058850
2023-09-07,129.500000,130.800003,128.600006,130.149994,127.579552,30268235
2023-09-08,131.399994,131.649994,129.199997,129.500000,126.942398,34313523
2023-09-11,129.500000,131.850006,129.199997,131.149994,128.559799,33377857
2023-09-12,132.800003,133.149994,128.649994,129.000000,126.452271,38065283
2023-09-13,129.600006,130.500000,127.699997,129.550003,126.991417,23371459
2023-09-14,131.000000,134.199997,130.800003,131.699997,129.098953,58800620
2023-09-15,132.600006,133.300003,129.850006,131.949997,129.344009,85058495
2023-09-18,135.000000,135.000000,130.050003,130.449997,127.873634,62420823
2023-09-20,130.449997,131.800003,128.000000,128.300003,125.766098,43627379
2023-09-21,128.300003,129.250000,127.199997,127.800003,125.275978,29826091
2023-09-22,127.150002,128.699997,125.500000,126.750000,124.246712,34059194
2023-09-25,127.300003,128.300003,126.099998,127.400002,124.883873,23466981
2023-09-26,129.000000,130.550003,128.399994,128.899994,126.354240,48936598
2023-09-27,128.750000,128.750000,126.699997,128.149994,125.619057,33277329
2023-09-28,128.350006,129.300003,126.300003,126.800003,124.295723,29982233
2023-09-29,128.199997,129.550003,127.550003,128.899994,126.354240,28406435
2023-10-03,129.000000,129.100006,127.250000,128.000000,125.472023,18613557
2023-10-04,127.000000,127.099998,124.500000,125.300003,122.825348,33272725
2023-10-05,125.900002,126.150002,124.550003,125.250000,122.776337,27063441
2023-10-06,126.500000,127.000000,125.099998,125.900002,123.413498,21928671
2023-10-09,124.800003,124.900002,122.599998,123.849998,121.403984,21457836
2023-10-10,124.699997,125.900002,123.750000,125.300003,122.825348,28745957
2023-10-11,126.000000,126.300003,124.699997,124.949997,122.482254,24455932
2023-10-12,125.349998,126.900002,125.099998,125.900002,123.413498,19361688
2023-10-13,125.000000,125.750000,124.000000,125.050003,122.580292,26912800
2023-10-16,125.099998,127.250000,124.949997,127.000000,124.491776,23868700
2023-10-17,127.900002,128.550003,127.000000,127.400002,124.883873,24241710
2023-10-18,127.849998,128.699997,126.599998,127.099998,124.589798,20926079
2023-10-19,125.500000,126.500000,124.349998,126.000000,123.511520,30941319
2023-10-20,125.000000,125.750000,122.699997,123.099998,120.668793,30746140
2023-10-23,123.349998,123.400002,119.699997,120.000000,117.630020,30699479
2023-10-25,121.199997,122.800003,120.750000,121.349998,118.953362,27346103
2023-10-26,120.849998,120.900002,118.900002,119.900002,117.531998,36298907
2023-10-27,120.500000,121.800003,119.500000,119.900002,117.531998,28424007
2023-10-30,121.050003,121.250000,118.949997,119.150002,116.796814,18753217
2023-10-31,120.000000,120.150002,118.400002,118.750000,116.404709,22319950
2023-11-01,119.000000,119.099998,116.000000,116.599998,114.297173,24717941
2023-11-02,114.599998,118.550003,114.599998,118.099998,115.767548,72538804
2023-11-03,118.199997,118.599998,117.099998,117.300003,114.983353,31747230
2023-11-06,118.500000,119.650002,117.500000,119.400002,117.041870,27883152
2023-11-07,119.300003,120.199997,118.400002,119.650002,117.286934,25818033
2023-11-08,119.750000,120.500000,118.550003,119.050003,116.698784,22552386
2023-11-09,119.199997,120.500000,118.849998,119.650002,117.286934,22979112
2023-11-10,119.500000,120.449997,118.800003,120.050003,117.679039,23584510
2023-11-13,120.849998,121.250000,119.900002,121.000000,118.610275,17951775
2023-11-15,121.699997,124.400002,121.500000,124.050003,121.600037,38344393
2023-11-16,124.000000,125.250000,123.000000,124.699997,122.237198,30836413
2023-11-17,124.699997,125.750000,124.300003,125.199997,122.727318,23319439
2023-11-20,125.050003,125.650002,124.050003,124.349998,121.894112,18780290
2023-11-21,125.050003,126.400002,124.949997,126.250000,123.756584,29643312
2023-11-22,126.400002,126.900002,125.500000,126.099998,123.609543,19588063
2023-11-23,126.349998,127.400002,125.900002,126.699997,124.197693,30736851
2023-11-24,126.699997,127.000000,125.550003,125.949997,123.462509,14719450
2023-11-28,127.000000,127.000000,126.000000,126.849998,124.344734,18377843
2023-11-29,127.150002,128.149994,126.699997,127.750000,125.226959,23092165
2023-11-30,127.800003,128.850006,126.500000,127.900002,125.374001,40165104
2023-12-01,128.899994,130.300003,128.050003,130.000000,127.432526,31192397
2023-12-04,132.199997,132.350006,130.399994,131.000000,128.412781,41230928
2023-12-05,131.000000,132.449997,130.000000,131.600006,129.000931,35192149
2023-12-06,132.500000,133.399994,130.800003,131.850006,129.245987,40753593
2023-12-07,131.699997,132.199997,129.800003,130.000000,127.432526,34686333
2023-12-08,130.149994,131.399994,127.949997,129.199997,126.648323,34393711
2023-12-11,129.850006,130.500000,128.750000,130.050003,127.481537,24038059
2023-12-12,130.050003,132.149994,129.699997,130.100006,127.530556,30696410
2023-12-13,130.550003,131.500000,129.149994,131.399994,128.804871,22767972
